Producer,Name,Calories,Fat,Carbohydrates,Sugar,Protein,Salt,Category,Subcategory,Price,Palm oil,Karagen,NutriScore
Pringles,Pringles Sour Cream & Onion ,525,30.0,56.0,2.5,6.0,1.3,Food,Crisps,10.99,0,0,D
Monster munch,Lorenz Monster Munch Original,556,34.0,60.0,5.1,1.8,2.8,Food,Crisps,5.75,0,0,E
Cheetos,Cheetos Spirals Chrupki kukurydziane o smaku serowo-ketchupowym,514,28.0,59.0,4.8,5.8,1.7,Food,Crisps,5.99,0,0,E
Magnetic,Magnetic Chałwa sezamowa o smaku waniliowo – kakaowym,528,31.0,46.0,25.0,13.0,0.02,Food,Chocolate bar,2.49,0,0,D
Dega,Dega Paprykarz z dorszem,125,6.6,11.0,3.2,4.9,1.4,Food,Canned food,2.89,0,0,C
Kinder,Kinder Cards Wafel wypełniony mlecznym i kakaowym nadzieniem,510,26.3,55.9,42.9,11.5,0.45,Food,Cookies,6.49,1,0,E
Princessa,PRINCESSA Klasyczna Wafel przekładany kremem kakaowym oblany deserową ,541,31.6,57.1,39.3,5.4,0.26,Food,Chocolate bar,2.29,1,0,E
Przysnacki,Przysnacki Chrupki o smaku zielona cebulka,479,19.0,69.0,3.7,6.7,1.5,Food,Crisps,5.99,0,0,D
Wadowice skawa,Wadowice Skawa Korsarz Draże kokosowe XXL,488,19.0,74.0,71.0,3.4,0.2,Food,Chocolate dragees,3.69,1,0,E
Tarczyński,Tarczyński Kabanosy roślINNE 3 ziarna ,415,29.0,17.0,8.6,21.0,2.5,Food,Meat,7.42,0,0,D
Pudliszki,Pudliszki Ketchup łagodny,116,0.0,27.0,20.0,1.6,2.6,Food,Sauce,4.99,0,0,D
Amino,Zupa błyskawiczna Amino Grzybowa,76,3.5,9.5,0.5,1.3,0.75,Food,Pre-made meal,2.39,1,0,C
Bakoma,Jogurt białkowy MEN,82,1.5,7.0,6.7,10.0,0.15,Food,Yoghurt,,0,0,B
Bakoma,Baton białkowy MEN,317,11.0,17.4,3.5,31.5,0.4,Food,Chocolate bar,,0,0,B
Krasnystaw,Krasnystaw Kefir,50,2.0,4.7,4.2,3.4,0.08,Food,Kefir,2.75,0,0,B
Nestle,Płatki Nesquik,377,8.5,2.8,75.2,22.4,0.22,Food,Cornflakes,,1,0,C
Bakoma,Kefir proteinowy MEN,71,2.0,7.3,7.3,6.0,0.12,Food,Kefir,,0,0,B
Żabka,Panini z sosem bazyliowym,243,8.6,27.0,1.8,13.0,1.4,Food,Pre-made meal,,0,0,C
Graal,Graal Mexicana Tuńczyk z warzywami,212,15.0,9.3,3.4,8.9,0.81,Food,Canned food,8.39,0,0,D
Rio Mare,Rio Mare Tuńczyk w sosie własnym,101,0.5,0.0,0.0,24.0,1.1,Food,Canned food,13.59,0,0,A
Marinero,Marinero Łosoś świeży filet ze skórą,220,16.0,0.0,0.0,19.0,0.12,Food,Fish,6.99,0,0,B
McDonalds,Cheeseburger,254,11.0,25.0,6.0,13.0,1.3,Food,Fast food,6.9,0,0,D
McDonalds,Podwójny WieśMac,279,19.0,10.0,2.6,16.0,0.84,Food,Fast food,25.9,0,0,C
McDonalds,Maestro Grand Classic,229,12.0,16.0,3.8,13.0,1.07,Food,Fast food,28.5,0,0,C
McDonalds,Veggie Burger,208,11.0,21.0,4.9,5.8,1.3,Food,Fast food,20.5,0,0,C
Nortfish,Fishburger classic,216,8.9,24.7,3.2,8.5,0.9,Food,Fast food,,0,0,C
MaxBurger,Hamburger z serem,270,16.2,18.9,3.4,11.7,1.4,Food,Fast food,,0,0,D
MaxBurger,Serki chilli duże,294,14.0,31.5,2.7,10.0,2.0,Food,Fast food,,0,0,D
McDonalds,McWrap Bekon,248,13.0,23.0,2.6,9.6,1.0,Food,Fast food,21.7,0,0,C
McDonalds,Chikker,272,12.0,30.0,3.6,9.6,1.1,Food,Fast food,6.9,0,0,D
McDonalds,Frytki małe,287,14.0,36.0,0.3,3.6,0.67,Food,Fast food,8.7,0,0,D
BurgerKing,Cheeseburger,267,14.0,20.0,3.9,17.0,1.1,Food,Fast food,,0,0,C
KFC,Longer,242,8.0,33.0,7.8,9.3,1.5,Food,Fast food,,0,0,D
