Producer,Name,Calories (kcal),Fat (g),Carbohydrates (g),Sugar (g),Protein (g),Salt (g),Category,Subcategory,Color (drink),Taste,Price (PLN),Ingredients
Goplana,Oryginalna mleczna,530,30,56,55,8,"0,2",Food,Chocolate,,Milky,"4,39","Cukier, mleko w proszku pełne, miazga kakaowa, tłuszcz kakaowy, mleko w proszku odtłuszczone, emulgatory (lecytyna sojowa, E 476), aromat. "
Jutrzenka,Rodzynki,426,15,67,65,4,"0,09",Food,Chocolate fruits,,Chocolate,"4,99","rodzynki 55,8 % (rodzynki, olej słonecznikowy), czekolada mleczna 43,5 % (cukier, tłuszcz kakaowy, mleko w proszku pełne, miazga kakaowa, tłuszcze roślinne (palmowy, shea) w zmiennych proporcjach, serwatka w proszku (z mleka), emulgatory: lecytyny (z soi), E 476; aromat), substancje glazurujące: guma arabska, szelak; oleje roślinne (kokosowy, rzepakowy, palmowy), skrobia, syrop glukozowy."
Jutrzenka,Draże chińskie,512,27,54,52,11,"0,02",Food,Chocolate dragees,,Chocolate,"4,49","cukier, orzeszki arachidowe 30,6 %, czekolada 29,9 % (cukier, miazga kakaowa, tłuszcz kakaowy, tłuszcze roślinne (palmowy, shea) w zmiennych proporcjach, kakao w proszku o obniżonej zawartości tłuszczu, emulgatory: lecytyny (z soi), E 476; aromat), syrop glukozowy, mleko w proszku odtłuszczone, stabilizator: sorbitole; substancje glazurujące: guma arabska, szelak; skrobia, oleje roślinne (kokosowy, rzepakowy, palmowy), aromat."
Jutrzenka,Draże mleczne,456,17,68,65,"7,7","0,27",Food,Chocolate dragees,,Milky,"3,29","cukier, mleko w proszku pełne (27 %), tłuszcz palmowy, syrop glukozowy, mleko w proszku odtłuszczone (2 %), olej palmowy, aromaty, substancje glazurujące (E 553b, wosk pszczeli, biały i żółty). Produkt może zawierać orzeszki arachidowe"
Jutrzenka,Kamyki orzechowe,497,24,53,50,16,0,Food,Chocolate dragees,,Peanut,"3,29","orzeszki arachidowe 51,4%, cukier, syrop glukozowy, koncentraty roślinne (krokosz barwierski, cytryna, marchew, spirulina, słodki ziemniak, rzodkiewka, jabłko), barwnik: ekstrakt z papryki; substancje glazurujące: E 553b, E 901; oleje roślinne (kokosowy, rzepakowy, palmowy) w zmiennych proporcjach, aromaty."
Goplana,Jeżyki,474,22,63,43,"5,7","0,55",Food,Chocolate bar,,Classic,"1,35","czekolada mleczna 34,3 % [cukier, tłuszcz kakaowy, mleko w proszku pełne, miazga kakaowa, tłuszcze roślinne (palmowy, shea) w zmiennych proporcjach, serwatka w proszku (z mleka), emulgatory: lecytyny (z soi) i E 476, aromat], mąka pszenna, chrupki ryżowe 10,1 % (mąka ryżowa, pszenna i kukurydziana, cukier, koncentrat słodu jęczmiennego, sól), cukier, syrop glukozowy, syrop cukru inwertowanego, orzechy laskowe 4,9 %, tłuszcz palmowy, mleko w proszku pełne, masło (z mleka), substancja utrzymująca wilgoć: syrop sorbitolowy; ekstrakt słodowy (z jęczmienia), skrobia, serwatka w proszku (z mleka), sól, emulgatory: lecytyny (z soi) i E 471, substancje  spulchniające:   E 503, E 500, E 450; aromat."
Tomcio paluch,Kanapka cezar,258,13,24,"1,3",13,"1,3",Food,Sandwich,,,,
GustoBello,Pinsa,235,"1,8",46,"1,1","7,3","1,2",Food,Pinsa,,,"13,59","mąka pszenna, woda, mąka ryżowa, mąka sojowa, sól jodowana, oliwa z oliwek ekstra virgin, suszony zakwas pszenny (1,4%), semolina ryżowa, naturalne aromaty, suszone drożdże piwne, substancja konserwująca: kwas sorbowy. Produkt może zawierać gorczycę i łubin. "
Kraina Wędlin Nature,Parówki z szynki,277,24,"1,3","0,6",14,"1,8",Food,Meat,,,"4,99","mięso wieprzowe z szynki, sól, przyprawy, ekstrakty przypraw, aromaty naturalne, glukoza, białko wieprzowe kolagenowe, cukier. 100 g produktu wyprodukowano ze 100 g mięsa wieprzowego z szynki. Możliwa obecność: gorczycy, mleka (łącznie z laktozą), selera, soi. "
Kraina Wędlin Nature,Salami plastry,364,31,"0,5","0,5",21,"3,5",Food,Meat,,,"4,99","mięso wieprzowe, mięso wołowe, tłuszcz wieprzowy, sól, przyprawy, aromaty naturalne, glukoza, cukier, kultury starterowe. Do wytworzenia 100g produktu zużyto 88g mięsa wieprzowego i 48g mięsa wołowego. "
Dania Express,Lasagne bolognese,172,"8,8",15,"1,5","7,5","0,96",Food,Pre-made meal,,,"15,99"," sos pomidorowy 24,8% (woda, koncentrat pomidorowy 6,7%), mięso wieprzowe 24%, woda, mąka semolina z pszenicy durum 12%, ser emmentaler 6%, olej rzepakowy, mąka pszenna, marchew 1,6%, skrobia modyfikowana, mleko w proszku odtłuszczone, cebula 1,1%, sól, czosnek, bazylia 0,16%, oregano, substancje żelujące (guma ksantanowa, mączka chleba świętojańskiego), pieprz czarny, rozmaryn, gałka muszkatołowa. Produkt może zawierać soję i ryby "
Henglein,Kopytka Nasze Smaki,148,"1,2",30,"2,5",3,"1,2",Food,Pre-made meal,,,"5,75","ziemniaki (66%), skrobia ziemniaczana (15%), mąka pszenna, jaja, sól olej rzepakowy, substancja zagęszczająca: guma guar, regulator kwasowości: kwas cytrynowy, przeciwutleniacz: kwas askorbinowy, przyprawy (zawierają seler). "
Vital fresh,Surówka Colesław,100,"6,3","8,2","6,8","1,5","0,77",Food,Pre-made meal,,,"4,49","kapusta biała 75%, sos majonezowy 12% (olej rzepakowy, woda, ocet spirytusowy, cukier, żółtko jaja w proszku, sól, stabilizatory: guma guar i guma ksantanowa), cebula 5%, cukier, chrzan tarty (korzeń chrzanu, woda, regulator kwasowości: kwas cytrynowy, sól), sól, regulator kwasowości: kwas cytrynowy, przeciwutleniacz: kwas askorbinowy. Produkt może zawierać: gluten, soję, mleko, seler i gorczycę. "
Muller,Mullermilch,71,"1,6","10,7","10,2","3,4","0,15",Drink,Milkshake,Chocolate,Chocolate,"3,95","mleko częściowo odtłuszczone,maślanka,produkt serwatkowy (z mleka),3,8 % czekolada w proszku (cukier, kakao w proszku),cukier,skrobia modyfikowana,stabilizator: karagen,sól,aromat,tiamina,ryboflawina,witamina B6,witamina B12 "
Zott,Jogobella,90,"2,7",12,"11,4","3,5","0,14",Food,Yoghurt,,Strawberry,"2,09"," jogurt*,owoce 10 % (truskawki, sok truskawkowy z koncentratu),cukier,koncentrat soku z buraków czerwonych,aromat,*zawiera składniki pochodzące z mleka oraz żywe kultury bakterii "
Zott,Jogobella,89,"2,7","11,6",11,"3,5","0,15",Food,Yoghurt,,Cherry,"2,09","jogurt*,owoce 9 % (wiśnie, sok wiśniowy z koncentratu),cukier,koncentrat soku z buraków czerwonych,koncentrat z aronii,koncentrat z marchwi,koncentrat z winogron,aromat,*zawiera składniki pochodzące z mleka oraz żywe kultury bakterii "
Bakoma,Bakuś Milk&Fun,105,"3,3","15,4","14,2","3,5","0,2",Food,Yoghurt,,Vanilla,"3,09","jogurt o smaku waniliowym 94,7 % (mleko, śmietanka, mleko zgęszczone odtłuszczone, cukier, naturalny aromat waniliowy z innymi naturalnymi aromatami, kultury bakterii jogurtowych),mix chrupek musujących 5,3 % [cukier, mąka ryżowa 1 %, tłuszcz kakaowy, regulator kwasowości: kwas cytrynowy; mleko pełne w proszku, regulator kwasowości: wodorowęglan sodu; laktoza, mleko w proszku odtłuszczone, sól, emulgator: lecytyny; koncentraty z: rzodkiewki, czarnej porzeczki, jabłka; ekstrakt z papryki, substancja glazurująca: szelak; syrop glukozowy, skrobia, aromaty, barwniki: E101, E141] "
Biedronka,Bułka grahamka,262,"1,5",48,"1,8",11,"1,5",Food,Bread,,,"0,75","mąka PSZENNA graham (52%), mąka PSZENNA (23,3%), woda, GLUTEN PSZENNY, drożdże, sól, środek do przetwarzania mąki (kwas askorbinowy). "
Podlaski,Pasztet drobiowy,181,15,4,"0,8",7,"1,4",Food,Canned food,,poultry,"3,45"," woda,mięso oddzielone mechanicznie z kurcząt 25,6 %,skóry z kurcząt 8,1 %,wątroba z kurcząt 7,0 %,olej rzepakowy,kasza manna (z pszenicy),sól,białko sojowe,skrobia ziemniaczana,warzywa suszone (cebula, marchew, pietruszka, por),przyprawy,serwatka (z mleka),mleko w proszku,glukoza,maltodekstryna,hydrolizat białka z kukurydzy,ekstrakt drożdżowy "
Merci,Merci,563,"36,1","49,9",48,"7,8","0,17",Food,Chocolates,,Chocolate,"19,99","cukier, tłuszcz kakaowy, miazga kakaowa, mleko pełne w proszku, tłuszcze roślinne (palmowy, shea), orzechy laskowe (3,8 %), migdały (3,4 %), pełnotłuste mleko w proszku, odtłuszczone mleko w proszku, laktoza (z mleka), maślanka w proszku (z mleka), tłuszcz mleczny, dekstroza, kakao niskotłuszczowe, fruktoza, emulgator: lecytyny (soja), syrop glukozowy, syrop z cukru inwert-owanego, kawa, aromaty, sól. Czekolada mleczna z nadzieniem nugatowym: masa kakaowa minimum 32 %; czekolada śmietankowa: masa kakaowa minimum 32 %; czekolada mleczna z orzechami i migdałami: masa kakaowa minimum 32 %; czekolada mleczna z nadzieniem pralinowym: masa kakaowa minimum 32 %; czekolada mleczna deserowa: masa kakaowa minimum 45 %; czekolada deserowa z nadzieniem marcepanowym: masa kakaowa minimum 50 %; czekolada deserowa z musem czekoladowym: masa kakaowa minimum 50 %; biała czekolada i czekolada kawowo-śmietankowa: czekolada śmietankowa: masa kakaowa minimum 32 %, biała czekolada: masa kakaowa minimum 28 %. Wszystkie rodzaje mogą zawierać także orzechy laskowe, migdały, orzeszki ziemne, inne orzechy oraz jaja. "
Lay’s,Lay’s paprykowe,517,30,52,"2,2","6,6","1,3",Food,Crisps,,Paprika,"7,69","ziemniaki,oleje roślinne (kukurydziany, słonecznikowy, rzepakowy w zmiennych proporcjach),cukier,sól,papryka w proszku,aromaty,cebula w proszku,czosnek w proszku,wędzona słodka papryka w proszku,barwnik (ekstrakt z papryki),fruktoza,pieprz cayenne w proszku,kwas (kwas cytrynowy) "
Elios,Ser feta,276,23,"0,7","0,7","16,5","2,2",Food,Cheese,,,"8,39","mleko (owcze min. 70%, kozie max. 30%), sól, kultury bakterii kwasu mlekowego, podpuszczka mikrobiologiczna. "
Top,Top chipsy,542,35,49,"0,6","5,5","1,1",Food,Crisps,,Salty,"3,99","ziemniaki, olej słonecznikowy (35%), sól (1,1%). Produkt może zawierać zboże zawierające gluten i mleko. "
Nasza spiżarnia,Pomidory całe,20,"0,5","3,1","3,1","1,1","0,6",Food,Canned food,,Tomato,"2,99","pomidory, sok pomidorowy, sól, regulator kwasowości: kwas cytrynowy "
Nussbeisser,Nussbeisser Czekolada mleczna z całymi migdałami ,547,33,50,48,"9,1","0,29",Food,Chocolate,,Chocolate,"8,99"," cukier,migdały (21%),miazga kakaowa,tłuszcz kakaowy,odtłuszczone mleko w proszku,serwatka w proszku (z mleka),tłuszcze roślinne (palmowy, shea),tłuszcz mleczny,emulgatory (lecytyny sojowe, E 476),aromat,Masa kakaowa w czekoladzie mlecznej minimum 25%,Oprócz tłuszczu kakaowego zawiera tłuszcze roślinne "
Marinero,Tuńczyk kawałki w sosie własnym,75,"0,5","0,5",0,17,"0,61",Food,Canned food,,Fishy,"6,18","ryba - tuńczyk kawałki (Katsuwonus pelamis), woda, sól. "
Crunchips,Crunchips X-Cut Ser & Cebula,524,32,51,1,"5,8","1,6",Food,Crisps,,Cheese-Onion,"8,15","ziemniaki, oleje roślinne (słonecznikowy, rzepakowy w zmiennych proporcjach) (31 %), sól, cebula w proszku, słodka serwatka w proszku (z mleka), ser w proszku, dekstroza, natka pietruszki, cukier, aromat (zawiera produkty mleczne), przeciwu- tleniacz: mieszanina tokoferoli; barwnik: ekstrakt z papryki. "
San,San Holenderskie Herbatniki półsłodkie oblane czekoladą mleczną,481,20,67,28,"7,9","0,75",Food,Cookies,,Chocolate,"4,49","mąka pszenna 54 %,czekolada mleczna 30 % [cukier, miazga kakaowa, tłuszcz kakaowy, serwatka w proszku (z mleka), odtłuszczone mleko w proszku, tłuszcze roślinne (shea, palmowy, w zmiennych proporcjach), tłuszcz mleczny, laktoza (z mleka), emulgatory (lecytyny sojowe, E476), aromat],olej palmowy,cukier 8,3 %,substancje spulchniające (węglany amonu, węglany sodu, difosforany, pirosiarczyn sodu),syrop glukozowo-fruktozowy,sól,aromat,Oprócz tłuszczu kakaowego czekolada zawiera tłuszcze roślinne "
Delicje,Delicje Sz. Pomarańczowe,359,"7,1",70,51,"3,3","0,23",Food,Cookies,,Orange,"4,79","syrop glukozowo-fruktozowy, cukier, czekolada 15 % [cukier, miazga kakaowa, tłuszcz kakaowy, tłuszcze roślinne (palmowy, shea) w zmiennych proporcjach, emulgatory (lecytyny sojowe, E 476), aromat], mąka pszenna, jaja, woda, skrobia ziemniaczana, zagęszczony sok pomarańczowy 1,5%, substancja utrzymująca wilgoć (glicerol), olej rzepakowy, substancja żelująca (pektyny), regulatory kwasowości (kwas cytrynowy, kwas jabłkowy, cytryniany sodu), sól, substancja spulchniająca (węglany amonu), aromaty, emulgator (E 471), barwniki (karoteny). "
Prince polo,Prince Polo Mleczne XXL wafelek,525,28,61,42,6,"0,44",Food,Chocolate bar,,Milky,"2,49","cukier, mąka pszenna, olej palmowy, serwatka w proszku (z mleka), tłuszcz kakaowy, odtłuszczone mleko w proszku, miazga kakaowa, tłuszcz mleczny, kakao w proszku o obniżonej zawartości tłuszczu (1 %), skrobia ziemniaczana, olej rzepakowy, emulgatory (lecytyna sojowa, E 476), sól, substancje spulchniające (węglany sodu, węglany amonu), aromaty. "
Przysnacki,Przysnacki Prażynki solone,520,30,60,"0,5","1,3",2,Food,Crisps,,Salty,"5,99","skrobia ziemniaczana (58%),olej słonecznikowy (28%),ziemniaki w proszku (11%),sól (2%),olej rzepakowy "
Bonitki,Bonitki Rurki z kremem o smaku kokosowym,517,26,65,41,"5,4","0,14",Food,Cookies,,Coconut,"3,99"," Cukier, mąka pszenna, tłuszcz palmowy, wiórki kokosowe (5,9%), laktoza, serwatka w proszku (z mleka), mąka pszenna częściowo skleikowana, mleko w proszku odtłuszczone, glukoza aromaty, sól, emulgator: lecytyny (z rzepaku). Produkt może zawierać: orzeszki arachidowe, orzechy, jaja, soję i nasiona sezamu. "
Princessa,Princessa Longa Kokosowa Wafel przekładany kremem kokosowym oblany białą czekoladą,564,"35,6","53,5","36,9","6,8","0,43",Food,Chocolate bar,,Coconut,"2,29","biała czekolada (31,9%) (cukier, tłuszcz kakaowy, pełne mleko w proszku, oleje roślinne (palmowy, shea), serwatka w proszku (z mleka), emulgator (lecytyny)), olej palmowy, mąka pszenna, serwatka w proszku (z mleka), cukier, odtłuszczone mleko w proszku, maltodekstryna, wiórki kokosowe (2,3%), substancje spulchniające (węglany amonu, węglany sodu), emulgatory (lecytyny, E 476), aromat naturalny, sól Może zawierać orzechy ziemne, orzechy i soję. "
Wedel,E. Wedel Wafel WW,540,29,61,53,"7,5","0,2",Food,Chocolate bar,,Chocolate,"1,79","Czekolada mleczna 73%(Cukier, Mleko pełne w proszku, Miazga kakaowa, Tłuszcz kakaowy, Serwatka w proszku (z mleka), Tłuszcz mleczny, Emulgatory: lecytyny sojowe i E476, Aromat), Mąka pszenna, Cukier, Tłuszcz roślinny (palmowy), Serwatka w proszku (z mleka), Miazga z orzechów arachidowych (1,7%), Kakao o obniżonej zawartości tłuszczu, Mleko pełne w proszku, Mąka żytnia, Zawiera olej słonecznikowy i\lub, Jaja w proszku, Maltodekstryna, Emulgator (lecytyny sojowa), Substancje spulchniające (wodorowęglan sodu, wodorowęglan amonu, pirosiarczyn sodu), Sól, Aromat. Czekolada mleczna: masa kakaowa minimum 29%, masa mleczna minimum 17%. Może zawierać orzechy. "
Pudliszki,Pudliszki Ketchup pikantny,109,0,25,22,"1,7","2,4",Food,Sauce,,Tomato,"4,99","przecier pomidorowy 70 %,cukier,ocet spirytusowy,skrobia modyfikowana kukurydziana,sól,naturalne aromaty (zawierają seler),pieprz cayenne 0,01 %,przyprawy,zioła "
Spółdzielnia mleczarska w Gostyniu,Masło Gostyńskie Ekstra,753,83,"0,7","0,7","0,7","0,02",Food,Butter,,,"8,39",
Vifon,VIFON Curry Zupa błyskawiczna z kluskami o smaku kurczaka,72,"3,3","9,1","0,2","1,3","0,6",Food,Pre-made meal,,Chicken,"2,09","kluski (92,1%): mąka pszenna, tłuszcz palmowy, tapioka, sól, skrobia modyfikowana, cukier, stabilizatory: trifosforany, guma guar; substancje spulchniające: węglany potasu, węglany sodu; kurkuma; dodatki smakowe (7,9%): rafinowany olej palmowy, sól, cukier, wzmacniacze smaku: glutaminian monosodowy, guanylan disodowy, inozynian disodowy; suszone warzywa w zmiennych proporcjach (9%): marchew, szczypior, kolendra; curry w proszku w zmiennych proporcjach (6,9%): kurkuma, anyż, goździk, nasiona kolendry, cynamon; pieprz, chili (1,9%), czosnek, trawa cytrynowa, aromat (jaja, orzeszki ziemne, soja), barwnik: karoteny; przeciwutleniacz: E 306. "
Top,TOP Chipsy w tubie papryka ,504,27,60,"2,9","3,9","1,8",Food,Crisps,,Paprika,"4,99","puree ziemniaczane w proszku (44 %) olej słonecznikowy (26 %) skrobia ziemniaczana (24 %) sól cukier sól morska papryka w proszku (0,4 %) cebula w proszku czosnek w proszku biały pieprz chilli w proszku naturalny aromat emulgator: mono- i diglicerydy kwasów tłuszczowych żywność barwiąca: ekstrakt z papryki "
Graal,Filet z Makreli w Sosie Pomidorowym,170,12,"5,6","3,8",10,1,Food,Canned food,,Tomato,"6,99","filety z makreli (60%), sos pomidorowy (40%) - woda, koncentrat pomidorowy (13%), cukier, skrobia modyfikowana kukurydziana, olej rzepakowy, ocet spirytusowy, sól, pomidory w proszku, cebula suszona, substancja zagęszczająca (guma guar), ekstrakt papryki, przyprawy. "
Bonitki,Bonitki Setters Wafelek mleczno-orzechowy,530,30,55,33,"8,3","0,3",Food,Chocolate bar,,Milky-Hazelnut,"2,59","cukier, tłuszcz kokosowy, mąka pszenna, mleko w proszku odtłuszczone 12,6%, orzechy laskowe 9,1%, mąka pszenna częściowo skleikowana, mąka pszenna pełnoziarnista 6,1%, kakao w proszku o obniżonej zawartości tłuszczu 2,9%, syrop glukozowy, olej rzepakowy, serwatka w proszku (z mleka) 0,8%, skrobia ziemniaczana, śmietanka w proszku (z mleka) 0,3%, mąka sojowa, emulgator: lecytyny (z rzepaku); aromaty, sól, jaja** w proszku, substancja spulchniająca (węglany sodu). **Jaja z wolnego wybiegu. Produkt może zawierać orzeszki arachidowe, inne orzechy, nasiona sezamu."
Pringles,Pringles Sour Cream & Onion ,525,30,56,"2,5",6,"1,3",Food,Crisps,,Sour Cream-Onion,"10,99","Rozdrobnione płatki ziemniaczane, olej słonecznikowy, mąka pszenna, mąka kukurydziana, mąka ryżowa, przyprawa o smaku cebulowo-śmietanowym (cebula w proszku, skrobia pszenna, maltodekstryna, wzmacniacze smaku {glutaminian monosodowy, guanylan disodowy, inozynian disodowy}, glukoza, olej słonecznikowy, sól, aromaty {mleko}, cukier, śmietana w proszku {mleko}, modyfikowana skrobia kukurydziana, słodka serwatka w proszku {mleko}, syrop glukozowy, kwasy {kwas cytrynowy, kwas mlekowy, kwas jabłkowy}, białka mleka), maltodekstryna, emulgator (E471), sól, barwnik (annato norbiksyna). "
Monster munch,Lorenz Monster Munch Original,556,34,60,"5,1","1,8","2,8",Food,Crisps,,Salty,"5,75","oleje roślinne(słonecznikowy, rzepakowy w zmiennych proporcjach) (33 %), ziemniaki w proszku (21 %), skrobia ziemniaczana (20 %), skrobia kukurydziana, skrobia grochowa, słodka serwatka w proszku (z mleka), sól, cukier, ser w proszku, papryka w proszku, naturalny aromat, przeciwutleniacz: mieszanina tokoferoli. Może zawierać gluten. "
Cheetos,Cheetos Spirals Chrupki kukurydziane o smaku serowo-ketchupowym,514,28,59,"4,8","5,8","1,7",Food,Crisps,,Cheese-Ketchup,"5,99","kasza kukurydziana 66 %,olej roślinny rzepakowy,serwatka w proszku z mleka,sól,glukoza,wzmacniacze smaku (glutaminian monosodowy, guanylan disodowy, inozynian disodowy),cukier,aromaty (zawierają mleko, soję),chlorek potasu,barwnik (ekstrakt z papryki) "
Magnetic,Magnetic Chałwa sezamowa o smaku waniliowo – kakaowym,528,31,46,25,13,"0,02",Food,Chocolate bar,,Vanilla-Cocoa,"2,49","Miazga sezamowa (51%), syrop glukozowy, cukier, kakao o obniżonej zawartości tłuszczu (1,4%), emulgator: mono- i diglicerydy kwasów tłuszczowych, białka jaja w proszku, ekstrakt z korzenia mydlnicy, aromat, aromat naturalny waniliowy. Może zawierać orzeszki arachidowe, orzechy, mleko i soję. "
Dega,Dega Paprykarz z dorszem,125,"6,6",11,"3,2","4,9","1,4",Food,Canned food,,Fishy,"2,89","woda, mięso separowane z łososia atlantyckiego (Salmo salar) 14%, koncentrat pomidorowy, rozdrobniony dorsz czarny (Pollachiuns virens) 10%, ryż, olej rzepakowy, cebula, sól, cukier, ocet spirytusowy, przyprawy, błonnik pszenny, ekstrakt z papryki. "
Kinder,Kinder Cards Wafel wypełniony mlecznym i kakaowym nadzieniem,510,"26,3","55,9","42,9","11,5","0,45",Food,Cookies,,Milky-Cocoa,"6,49","mleko odtłuszczone w proszku (28 %),cukier,olej palmowy,mąka pszenna (15,5 %),kakao w proszku o obniżonej zawartości tłuszczu (4 %),emulgator: lecytyny (soja),sól,substancja spulchniająca (wodorowęglan sodu),wanilina "
