,Producer,Name,Calories,Fat,Carbohydrates,Sugar,Protein,Salt,Category,Subcategory,Price,Palm oil,Karagen,NutriScore
61,Amino,Zupa błyskawiczna Amino Grzybowa,76,3.5,9.5,0.5,1.3,0.75,Food,Pre-made meal,2.39,1,0,C
62,Bakoma,Jogurt białkowy MEN,82,1.5,7.0,6.7,10.0,0.15,Food,Yoghurt,,0,0,B
63,Bakoma,Baton białkowy MEN,317,11.0,17.4,3.5,31.5,0.4,Food,Chocolate bar,,0,0,B
64,Krasnystaw,Krasnystaw Kefir,50,2.0,4.7,4.2,3.4,0.08,Food,Kefir,2.75,0,0,B
65,Nestle,Płatki Nesquik,377,8.5,2.8,75.2,22.4,0.22,Food,Cornflakes,,1,0,C
66,Bakoma,Kefir proteinowy MEN,71,2.0,7.3,7.3,6.0,0.12,Food,Kefir,,0,0,B
67,Żabka,Panini z sosem bazyliowym,243,8.6,27.0,1.8,13.0,1.4,Food,Pre-made meal,,0,0,C
68,Graal,Graal Mexicana Tuńczyk z warzywami,212,15.0,9.3,3.4,8.9,0.81,Food,Canned food,8.39,0,0,D
69,Rio Mare,Rio Mare Tuńczyk w sosie własnym,101,0.5,0.0,0.0,24.0,1.1,Food,Canned food,13.59,0,0,A
70,Marinero,Marinero Łosoś świeży filet ze skórą,220,16.0,0.0,0.0,19.0,0.12,Food,Fish,6.99,0,0,B
71,McDonalds,Cheeseburger,254,11.0,25.0,6.0,13.0,1.3,Food,Fast food,6.9,0,0,D
72,McDonalds,Podwójny WieśMac,279,19.0,10.0,2.6,16.0,0.84,Food,Fast food,25.9,0,0,C
73,McDonalds,Maestro Grand Classic,229,12.0,16.0,3.8,13.0,1.07,Food,Fast food,28.5,0,0,C
74,McDonalds,Veggie Burger,208,11.0,21.0,4.9,5.8,1.3,Food,Fast food,20.5,0,0,C
75,Nortfish,Fishburger classic,216,8.9,24.7,3.2,8.5,0.9,Food,Fast food,,0,0,C
76,MaxBurger,Hamburger z serem,270,16.2,18.9,3.4,11.7,1.4,Food,Fast food,,0,0,D
77,MaxBurger,Serki chilli duże,294,14.0,31.5,2.7,10.0,2.0,Food,Fast food,,0,0,D
78,McDonalds,McWrap Bekon,248,13.0,23.0,2.6,9.6,1.0,Food,Fast food,21.7,0,0,C
79,McDonalds,Chikker,272,12.0,30.0,3.6,9.6,1.1,Food,Fast food,6.9,0,0,D
80,McDonalds,Frytki małe,287,14.0,36.0,0.3,3.6,0.67,Food,Fast food,8.7,0,0,D
81,BurgerKing,Cheeseburger,267,14.0,20.0,3.9,17.0,1.1,Food,Fast food,,0,0,C
82,KFC,Longer,242,8.0,33.0,7.8,9.3,1.5,Food,Fast food,,0,0,D
